Name,Image,Description,Category,Rating (out of 10),Playtime (mins),Players,Difficulty (out of 5)
Clank!: A Deck-Building Adventure,=IMAGE("https://cf.geekdo-images.com/DPjV1iI0ygo5Bl3XLNRiIg__original/img/cXqOdM3BLyIeRt0GP3M3V--gF1M=/0x0/filters:format(jpeg)/pic4449526.jpg"),"Burgle your way to adventure in the deck-building board game Clank! Sneak into an angry dragon's mountain lair to steal precious artifacts. Delve deeper to find more valuable loot. Acquire cards for your deck and watch your thievish abilities grow.

Be quick and be quiet. One false step and CLANK! Each careless sound draws the attention of the dragon, and each artifact stolen increases its rage. You can enjoy your plunder only if you make it out of the depths alive!

Clank! is a deck-building game. Each player has their own deck, and building yours up is part of playing the game. You start each of your turns with five cards in your hand, and you'll play them all in any order you choose. Most cards will generate resources, of which there are three different kinds:


    Skill, which is used to acquire new cards for your deck.
    Swords, which are used to fight the monsters that infest the dungeon.
    Boots, which are used to move around the board.


Every time you acquire a new card, you put it face up in your discard pile. Whenever you need to draw a card and find your deck empty, you shuffle your discard pile and turn it face down to form a new deck. With each shuffle, your newest cards become part of a bigger and better deck! Each player starts with the same cards in their deck, but they’ll acquire different cards during their turns. Because cards can do many different things, each player’s deck (and strategy) will become more and more different as the game unfolds.

During the game, you have two goals:

    Retrieve an Artifact token and escape the dragon by returning to the place you started, outside of the dungeon.
    Accumulate enough points with your Artifact and other loot to beat out your opponents and earn the title of Greatest Thief in the Realm!


","Adventure, Fantasy",7.79733,60,2 to 4,2.2221
WaveLength,=IMAGE("https://cf.geekdo-images.com/hOGgix4txEnNFJ6KyLiDbg__original/img/tkwSmrXvs3M-SYb7z5Pf05J1BjA=/0x0/filters:format(jpeg)/pic890710.jpg"),"WaveLength is a game where you predict how friends and family will respond to common questions about people, entertainment, sports and everyday items.

WaveLength questions have many possible answers! Each game card contains 4 of the most popular and 3 lesser known wild card answers.

Only the card holder knows the answers on the card. It's up to the card holder to select the answer that’s most likely to be chosen by the other players. But players must choose shrewdly because the more uncommon the answer, the higher the point value.

The Objective is to be the first player to reach 100 points; card holder and players receive points for matching the card holder’s answer.  All-match bonuses and blind doubles make the gameplay even more exciting.

","Card Game, Movies / TV / Radio theme, Party Game, Sports, Word Game",5.0,60,3 to 8,1.0
Sagrada,=IMAGE("https://cf.geekdo-images.com/5whJ_EjhjUFQBajy8UJAnQ__original/img/KEHKmg3osGqLtCEMdvcwL7ltRH0=/0x0/filters:format(jpeg)/pic1083962.jpg"),"Sagrada is a Spanish learning game with German as the source language.

Summary

The players of Sagrada focus on two goals: First, they want to learn or revise the core vocabulary of Spanish nouns (about 800 words). Second, the players want to complete the unfinished church La Sagrada Familia. Towards this end, each player gets a number of jigsaw puzzle pieces which they have to buy during the game. The required money is earned by trading in language cards and asset cards. The game ends when one player has bought and laid out all their puzzle pieces and also manages to correctly solve five of the language cards he/she has collected during the game.

The game mechanics in more detail

A die determines the players' movement on the game board. The board contains the following types of spaces:
Event spaces and special spaces: The player draws a card from the corresponding stack. Event cards must be played immediately, special cards can be kept until needed.
Attraction spaces: The player receives an asset card of the corresponding tourist attraction. Different attractions have cards worth different amounts of money.
Language spaces: The player gets a language card, which they have to learn during the game. Each language card contains two different words or phrases in German and Spanish.
Metro spaces can be used either as a shortcut to a different metro space, or as an event, special or language space (player's choice).
Bank spaces: On a bank space, the player can exchange asset and language cards for money. To do so, they must have learned the language cards. During an exchange attempt, one asset card and two language cards are submitted. The German words are read out, and if the active player correctly translates them to Spanish, he/she receives the amount of money specified on the asset card. If they fail, they get back their cards and can try again later.
Casa de Pledras spaces: The player can pay for one of his puzzle pieces to be added to the puzzle that is laid out on the table (all players contribute to one puzzle).

",Educational,6.70714,60,2 to 4,0.0
Skull,=IMAGE("https://cf.geekdo-images.com/4FvrOFxgPqlGmO56WS08dg__original/img/N06naKr53l1AUlfVl6DORa8TEyo=/0x0/filters:format(jpeg)/pic744864.jpg"),"Post apocalyptic football game. 
Based on the movie 'The Blood of Heroes'.

The aim of the game is to get a 'dogskull' onto a spike at the opposing end of the field while preventing the opposing team from doing the same.

The team of each player may choose between:
 Runner: The only piece allowed to touch the skull and score points. (mandatory)
Chain: The piece with the greatest reach on the field and strong damage.
Pole: Fighting piece able to block front field spaces.
Net: Catch enemy pieces
Hook: Pin enemy pieces

Cards are used for movement and to determine the outcome of fights.

The game comes in a video cassette box, with board, tokens and cards.

","Science Fiction, Sports",4.66667,45,2 to 2,0.0
Arboretum,=IMAGE("https://cf.geekdo-images.com/XYOn10oXBrDqHySf0jvnyQ__original/img/RMi0pEsP8agfH-tgYkeRGilD3oo=/0x0/filters:format(png)/pic4172124.png"")","Arboretum is a strategy card game for 2-4 players, aged 10 and up, that combines set collection, tile-laying and hand management while playing in about 25 minutes. Players try to have the most points at the end of the game by creating beautiful garden paths for their visitors.

The deck has 80 cards in ten different colors, with each color featuring a different species of tree; each color has cards numbered 1 through 8, and the number of colors used depends on the number of players. Players start with a hand of seven cards. On each turn, a player draws two cards (from the deck or one or more of the discard piles), lays a card on the table as part of her arboretum, then discards a card to her personal discard pile.

When the deck is exhausted, players compare the cards that remain in their hands to determine who can score each color. For each color, the player(s) with the highest value of cards in hand of that color scores for a path of trees in her arboretum that begins and ends with that color; a path is a orthogonally adjacent chain of cards with increasing values. For each card in a path that scores, the player earns one point; if the path consists solely of trees of the color being scored, the player scores two points per card. If a player doesn't have the most value for a color, she scores zero points for a path that begins and ends with that color. Whoever has the most points wins.

","Bluffing, Card Game",7.31784,30,2 to 4,2.1461
Sushi Go!,=IMAGE("https://cf.geekdo-images.com/Fn3PSPZVxa3YurlorITQ1Q__original/img/5vRsn2TT9eJmq27i9HtLWKpB_xs=/0x0/filters:format(jpeg)/pic1900075.jpg"),"In the super-fast sushi card game Sushi Go!, you are eating at a sushi restaurant and trying to grab the best combination of sushi dishes as they whiz by. Score points for collecting the most sushi rolls or making a full set of sashimi. Dip your favorite nigiri in wasabi to triple its value! And once you've eaten it all, finish your meal with all the pudding you've got! But be careful which sushi you allow your friends to take; it might be just what they need to beat you!

Sushi Go! takes the card-drafting mechanism of Fairy Tale and 7 Wonders and distills it into a twenty-minute game that anyone can play. The dynamics of ""draft and pass"" are brought to the fore, while keeping the rules to a minimum. As you see the first few hands of cards, you must quickly assess the make-up of the round and decide which type of sushi you'll go for. Then, each turn you'll need to weigh which cards to keep and which to pass on. The different scoring combinations allow for some clever plays and nasty blocks. Round to round, you must also keep your eye on the goal of having the most pudding cards at the end of the game!

",Card Game,7.0169,15,2 to 5,1.1595
Cards Against Humanity,=IMAGE("https://cf.geekdo-images.com/nYLrPiI9gnvlrwOrKQ4_CA__original/img/EgMpdhoG38LUTApk0kyFFsmoQPk=/0x0/filters:format(jpeg)/pic2909692.jpg"),"""A party game for horrible people.""

Play begins with a judge, known as the ""Card Czar"", choosing a black question or fill-in-the-blank card from the top of the deck and showing it to all players.  Each player holds a hand of ten white answer cards at the beginning of each round, and passes a card (sometimes two) to the Card Czar, face-down, representing their answer to the question on the card. The card czar determines which answer card(s) are funniest in the context of the question or fill-in-the-blank card. The player who submitted the chosen card(s) is given the question card to represent an ""Awesome Point"", and then the player to the left of the new Card Czar becomes the new Czar for the next round. Play continues until the players agree to stop, at which point the player with the most Awesome Points is the winner.

This, so far, sounds like the popular and fairly inoffensive Apples to Apples. While the games are similar, the sense of humor required is very different. The game encourages players to poke fun at practically every awkward or taboo subject including race, religion, gender, poverty, torture, alcoholism, drugs, sex (oh yes), abortion, child abuse, celebrities, and those everyday little annoyances like ""Expecting a burp and vomiting on the floor"".

In addition, there are a few extra rules.  First, some question cards are ""Pick 2"" or cards, which require each participant to submit two cards in sequence to complete their answer. Second, a gambling component also exists.  If a question is played which a player believes they have two possible winning answers for, they may bet an Awesome Point to play a single second answer.  If the player who gambled wins, they retain the wagered point, but if they lose, the player who contributed the winning answer takes both points.

From the website:

""Cards Against Humanity is distributed under a Creative Commons Attribution-Noncommercial-Share Alike license - that means you can use and remix the game for free, but you can't sell it. Feel free to contact us at cardsagainsthumanity@gmail.com.""

","Card Game, Humor, Mature / Adult, Party Game, Print & Play",5.79756,30,4 to 30,1.1885
Cards Against Humanity: First Expansion,=IMAGE("https://cf.geekdo-images.com/v5bvwoj3d58t7Y6ZhogRqg__original/img/1frZh9RGQUM_BuwvXbzvWlp4v8E=/0x0/filters:format(png)/pic2006294.png"")","Following up on their successful Kickstarter campaign to get their game, Cards Against Humanity, professionally published, the creators are back with a card expansion that adds more hilarity for us horrible people that like to play.

In this card game, players take turns being the Card Czar, which means they will read a black question card or a fill-in-the-blank statement card.  The other players will select a white answer card from the 10 in their hand that they think best or most humorously fits the question/statement.  The Card Czar will then shuffle the answers and choose the one they like best, with that answer's owner receiving the black card as his ""awesome point"" for winning the round.

Once a player has at least one awesome point, they can wager an awesome point when giving a white answer card in order to throw in a second answer card, giving that player a better chance to be chosen.  The winner of the round will receive the original black card as well as any that are wagered in that round.

Play continues until a pre-determined score is reached, or until everyone is tired from laughing so hard.

This expansion adds 20 black question/statement cards and 80 white answer cards to the deck as well as 12 blank cards for players to come up with their own card ideas.

","Expansion for Base-game, Card Game, Mature / Adult",6.56524,30,4 to 30,1.2688
Vortex,=IMAGE("https://cf.geekdo-images.com/XycxP9KSn2CQsnfFd9wyTw__original/img/Rhs9nDGH0rHbKk2MCp6veO9rmWI=/0x0/filters:format(jpeg)/pic7315079.jpg"),"A whirlwind game of survival! A game where every move threatens to draw you deeper into the depths of the Vortex. A totally new concept in board game design that will provide hours of fun and entertainment for every member of the family. All players start in the Vortex (center of the board) with their 4 pawns and make their way through the many waves to the outer circle! Objective: Move all your pawns safely into your Life Rafts before your opponents can send you back to the Vortex, to start over again! A game of strategy and excitement with every move! EQUIPMENT: 1 Playing board, 1 die, 6 sets of colored pawns.

",,5.0,0,2 to 6,1.0
Superfight,=IMAGE("https://cf.geekdo-images.com/4ih18dd_9SZv3yn-YazMIw__original/img/VOTdHizWmvwJnOFMw6YMWj5sJSg=/0x0/filters:format(jpeg)/pic2933903.jpg"),"Superfight is party game of super powers and super problems. The game is all about arguing with your friends about ridiculous fights.

The core deck contains 500 cards. 160 characters (white cards), and 340 powers and weaknesses (black cards). Players use a hand of three white cards and three black cards, and choose one of each to beat the player next to them. Then they get a random black card before fighting. Players then argue their case for why they should win, and the table votes.

Note: Superfight went through a major reprint in late 2014. The rules and about 30% of the cards were refined to improve the game after it sold out of its original print runs. The Cards Against Humanity/Apples to Apples mechanism has been replaced by a table vote and one-one one battles, but the battle royale and villain rulesets keep the old single-judge mechanism if the table prefers it.

","Card Game, Comic Book / Strip, Fighting, Humor, Party Game",5.86389,15,3 to 20,1.2
El Dorado,=IMAGE("https://cf.geekdo-images.com/zyRPcetFT0QD0_Pb_3JLbA__original/img/DArNuLmvjr-vU2_lpAn1dPeYsus=/0x0/filters:format(jpeg)/pic47948.jpg"),"Game of logic, similar to Parker Brother's Black Box.  Players try to determine the location of ""treasure"" by asking astute questions.

","Pirates, Puzzle",5.875,30,2 to 2,2.0
Cosmic Encounter,=IMAGE("https://cf.geekdo-images.com/-h1dJq8he4yvRG7rRzF-nQ__original/img/Acu3-TEjeRexlWAGcp1vwYV9et4=/0x0/filters:format(jpeg)/pic428608.jpg"),"By request of Fantasy Flight Games, Board Game Geek lists the various editions of Cosmic Encounter in separate entries. Each edition is the same game at its core, but the features, compatible expansions, and production differ among them. This entry is for the original 1977 Eon version.

Players represent alien races that are seeking to spread themselves onto five foreign worlds.  To accomplish this, they make challenges against other players and enlist the aid of interested parties.  But alien powers, which are unique to each race, give players ways to bend or outright break some rule in the game.

The game continues until one player occupies five planets in other systems to win. Shared victories are possible and a player need not occupy one's own system to win.

","Bluffing, Negotiation, Science Fiction",6.91639,90,2 to 6,2.3706
The Settlers of Catan,=IMAGE("https://cf.geekdo-images.com/5P_kEuV33eTWApSJNS787g__original/img/68E9IOFyz2tXXrSyOoTJgj7l3gc=/0x0/filters:format(jpeg)/pic1126839.jpg"),"This entry is for editions of CATAN that include the Catan: 5-6 Player Extension.


Publisher's description of the 15th Anniversary Edition:

Embark on a quest to settle the fair isle of Catan! Guide your brave settlers to victory by using clever trading and development. Use resources (grain, wool, ore, brick, and lumber) to build roads, settlements, and cities, and buy development cards. Acquire your resources through trades or the role of the dice. But beware! You never know when someone might cut off your road or if the robber will appear and steal your precious gains. Are you the best trader, builder, or settler? Will you master Catan?

Designed for 3-6 players, this special, limited 15th Anniversary Wood Edition of The Settlers of Catan features a strong, compartmentalized box that contains: 52 thick, beautifully illustrated map hexagons, 144 specially designed playing pieces, six hexagonal building costs summaries, two special victory point markers, one vile robber, two dice, and 28 random number chits, all crafted from sturdy wood. The 154 cards, like the hexes, bear fine artwork from Michael Menzel.

","Civilization, Negotiation",7.14372,75,3 to 6,2.4091
Clue,=IMAGE("https://cf.geekdo-images.com/8tkwuJwlaO3o46DzEsR4tA__original/img/-HQj9q137LWWUuvjNe913OUSVWM=/0x0/filters:format(jpeg)/pic46934.jpg"),"For versions of Clue that feature the new character Dr. Orchid, please use this Clue page.

The classic detective game!  In Clue, players move from room to room in a mansion to solve the mystery of: who done it, with what, and where?  Players are dealt character, weapon, and location cards after the top card from each card type is secretly placed in the confidential file in the middle of the board.  Players must move to a room and then make a suggestion against a character saying they did it in that room with a specific weapon.  The player to the left must show one of any cards mentioned if in that player's hand.  Through deductive reasoning each player must figure out which character, weapon, and location are in the secret file.  To do this, each player must uncover what cards are in other players hands by making more and more suggestions.  Once a player knows what cards the other players are holding, they will know what cards are in the secret file, and then make an accusation. If correct, the player wins, but if incorrect, the player must return the cards to the file without revealing them and may no longer make suggestions or accusations. A great game for those who enjoy reasoning and thinking things out.

Note: There are some early versions of Clue which are labeled as 2-6 players. Recent and current issues of the game state 3-6 players.

","Deduction, Movies / TV / Radio theme, Murder/Mystery",5.67419,45,2 to 6,1.6539
Concept,=IMAGE("https://cf.geekdo-images.com/hHFs0_KRoW_FJ0cMIVgZcw__original/img/vbR7Wrdlq4fPcwUE1Ck9CowlJHY=/0x0/filters:format(jpeg)/pic4991925.jpg"),"In Concept, your goal is to guess words through the association of icons. A team of two players – neighbors at the table – choose a word or phrase that the other players need to guess. Acting together, this team places pieces judiciously on the available icons on the game board.

To get others to guess ""milk"", for example, the team might place the question mark icon (which signifies the main concept) on the liquid icon, then cubes of this color on the icons for ""food/drink"" and ""white"". For a more complicated concept, such as ""Leonardo DiCaprio"", the team can use the main concept and its matching cubes to clue players into the hidden phrase being an actor or director, while then using sub-concept icons and their matching cubes to gives clues to particular movies in which DiCaprio starred, such as Titanic or Inception.

The first player to discover the word or phrase receives 2 victory points, the team receives points as well, and the player who ends up with the most points wins.

","Deduction, Party Game",6.77512,40,4 to 12,1.3821
Trivial Pursuit: 20th Anniversary Edition,=IMAGE("https://cf.geekdo-images.com/-LT0_XMlwhKjtLZdNZeBcQ__original/img/CkgKC5YxN-jBgtEzwdZEh5LYL6o=/0x0/filters:format(jpeg)/pic205802.jpg"),"This 20th Anniversary Trivial Pursuit Edition contains 3,600 all-new questions - that celebrate the people and events from the past 20 years. Plus the Special Anniversary Deluxe Card Dispenser keeps your cards organized so you can focus on the fun.
The six new categories include *Global View, *The Written Word, *Sound & Screen, *Innovations, *News, *Game Time.

","Party Game, Trivia",5.21307,180,2 to 6,1.8101
The Quacks of Quedlinburg,=IMAGE("https://cf.geekdo-images.com/pH5LgRL4mNRon-2NsSDb1Q__original/img/8PEJOyuKGbTaEGbUbCoLQy_i65Y=/0x0/filters:format(png)/pic6137509.png"")","In The Quacks of Quedlinburg, players are charlatans — or quack doctors — each making their own secret brew by adding ingredients one at a time. Take care with what you add, though, for a pinch too much of this or that will spoil the whole mixture!

Each player has their own bag of ingredient chips. During each round, they simultaneously draw chips from their bags and add them to their pots. The higher the face value of the drawn chip, the further it is placed in the pot's swirling pattern, increasing how much the potion will be worth. Push your luck as far as you can, but if you add too many cherry bombs, your pot will explode!

At the end of each round, players gain victory points and coins to spend on new ingredients, depending on how well they managed to fill up their pots. But players whose pots have exploded must choose points or coins — not both! The player with the most victory points at the end of nine rounds wins the game.

",Medieval,7.83955,45,2 to 4,1.9483
Lords of Xidit,=IMAGE("https://cf.geekdo-images.com/KluVg27eXcpbH-_lUWgyKA__original/img/uRRKZ84K05gFSvffYPWRAFqazXI=/0x0/filters:format(jpeg)/pic2074460.jpg"),"The Black Southern Host has arisen, corrupting the hearts of the indigenous creatures. Afflicted by a mysterious sickness, they are attacking human cities. The last remaining hope for restoring peace to Xidit lies with the Kingdom's noble heirs, the Idrakys. As one of them, you must roam the Kingdom recruiting brave soldiers and reclaiming threatened cities. Your bravery will not go unrewarded: accumulate wealth, send bards to sing your praises, and build Sorcerers' Guilds!

Lords of Xidit features simultaneous programming and an elimination-based scoring system that leaves no room for complacency! In more detail, at the end of the game players compare their influence in one category and the player with the least influence is eliminated and his pieces removed from the board; players then compare influence in another category, with a player again being removed. The order of elimination is randomly determined at the start of play, forcing you to thinking in different ways each game.

Prepare to ride out, Idrakys, and forge your legend!

Note: Contained inside the box are 2 copies of a promo for other game: Seasons: Speedwall the Escaped

",Fantasy,7.09701,90,3 to 5,2.6198
Poker,=IMAGE("https://cf.geekdo-images.com/QhsvR9GY0LbTpj27fairWA__original/img/4ODyzAOOgoIJrUzLOjtzItR2uH0=/0x0/filters:format(jpeg)/pic186610.jpg"),"Poker is played with a standard deck of 52-cards, and sometimes Jokers are added as wild cards. The object of the game is to win the pot which contains all the bets the players have made in a deal.  Players are dealt cards which are usually reduced to a Poker hand of five (5) cards. Betting and bluffing are used in rounds until all bets are squared up, or until all other players have conceded the pot (folded). If all bets have been squared up, the rounds are followed by a ""showdown"" in which all hands are fully revealed; the one with the best combination of a Poker hand of five (5) cards being the winner.

The following table describes and ranks the standard Poker hands:

Five of a Kind (Only if wild cards are in use):  Four cards of the same rank and one wild card (eg: A, A, A, A, Joker).
Straight Flush: A straight with all cards of the same suit (eg: A, K, Q, J, 10: all spades). (The highest Straight Flush is nominally called a Royal Flush)
Four of a Kind:  Four cards of the same rank (eg: A, A, A, A, K).
Full House:  Three of a kind in one rank and a pair in a different rank (eg: A, A, A, K, K). 
Flush:  Five cards of the same suit (eg: A, K, Q, J, 9: all spades)
Straight:  Five cards in sequence of rank (eg: A, K, Q, J, 10).
Three of a Kind:  Three cards of the same rank (eg: A, A, A, K, Q).
Two Pair:  Two pairs of different ranks (eg: A, A, K, K, Q).
One Pair:  A pair of cards of the same rank (eg: A, A, K, Q, J).
High Card:  High card without any other higher combination (eg: A, K, Q, J, 9).

","Bluffing, Card Game",6.71629,60,2 to 10,2.4221
Ticket to Ride,=IMAGE("https://cf.geekdo-images.com/ZWJg0dCdrWHxVnc0eFXK8w__original/img/LgzEsQlF3xkSEQLoorc8ntiYiIY=/0x0/filters:format(jpeg)/pic38668.jpg"),"With elegantly simple gameplay, Ticket to Ride can be learned in under 15 minutes. Players collect cards of various types of train cars they then use to claim railway routes in North America. The longer the routes, the more points they earn. Additional points come to those who fulfill Destination Tickets – goal cards that connect distant cities; and to the player who builds the longest continuous route.

""The rules are simple enough to write on a train ticket – each turn you either draw more cards, claim a route, or get additional Destination Tickets,"" says Ticket to Ride author, Alan R. Moon. ""The tension comes from being forced to balance greed – adding more cards to your hand, and fear – losing a critical route to a competitor.""

Ticket to Ride continues in the tradition of Days of Wonder's big format board games featuring high-quality illustrations and components including: an oversize board map of North America, 225 custom-molded train cars, 144 illustrated cards, and wooden scoring markers.

Since its introduction and numerous subsequent awards, Ticket to Ride has become the BoardGameGeek epitome of a ""gateway game"" -- simple enough to be taught in a few minutes, and with enough action and tension to keep new players involved and in the game for the duration.

Part of the Ticket to Ride series.

",Trains,7.39923,60,2 to 5,1.8362
Avalon,=IMAGE("https://cf.geekdo-images.com/RRt8rRwkuQtnAHsw9Yvxaw__original/img/ct5fg9kSR6Sfj5aS8FYtwP3J45c=/0x0/filters:format(jpeg)/pic223231.jpg"),"There are separate cards to determine the course of the tournament, according to the number of players. A round (1 2 etc) always starts with a bartering session, whereby cards may be exchanged and sold. After that, the knights must do battle! In order to be allowed to fight, the knights must he in possession of a full set of weaponry.
A full set consist of shield, sword, lance and armor. Anyone of them might be substituted by a joker card.

The game is finished when only one player is left with a complete set of weaponry. The winner is the player with the largest fortune at this lime.

","Medieval, Negotiation",5.34167,45,3 to 6,1.3333
The Werewolves of Miller's Hollow,=IMAGE("https://cf.geekdo-images.com/rZ0tOafAt1oue_7NKqELsg__original/img/Mxx1Abak0zV1FhoDr5HOnMirFAM=/0x0/filters:format(jpeg)/pic7203269.jpg"),"Werewolves of Miller's Hollow is a game that takes place in a small village which is haunted by werewolves. Each player is secretly assigned a role - Werewolf, Ordinary Townsfolk, or special character such as The Sheriff, The Hunter, the Witch, the Little Girl, The Fortune Teller and so on... There is also a Moderator player who controls the flow of the game. The game alternates between night and day phases. At night, the Werewolves secretly choose a Villager to kill. During the day, the Villager who was killed is revealed and is out of the game. The remaining Villagers (normal and special villagers alike) then deliberate and vote on a player they suspect is a Werewolf, helped (or hindered) by the clues the special characters add to the general deliberation. The chosen player is ""lynched"", reveals his/her role and is out of the game. Werewolf is a social game that requires no equipment to play, and can accommodate almost any large group of players.

The Werewolves of Miller's Hollow/les Loups-Garous de Thiercelieux/Die Werwölfe von Düsterwald is a published version arranged by HervÃ© Marly and Philippe des PalliÃ¨res and published by Lui-mÃªme, 2001 for 8-23 players. This has been nominated for the 2003 Spiel des Jahres award.

Werewolves of Miller's Hollow is a separate game from Werewolf, and was split from that entry at the request of Asmodee.

","Bluffing, Deduction, Horror, Murder/Mystery, Party Game",6.7002,30,8 to 18,1.3119
Werewords,=IMAGE("https://cf.geekdo-images.com/4ngyBZXLLKIOdGuUHE7baw__original/img/26CKXFLZQ1sUlUwdu_kJ3E8F4Bs=/0x0/filters:format(jpeg)/pic4415135.jpg"),"In Werewords, players guess a secret word by asking ""yes"" or ""no"" questions. Figure out the magic word before time is up, and you win! However, one of the players is secretly a werewolf who is not only working against you, but also knows the word. If you don't guess the word in time, you can still win by identifying the werewolf!

To help you out, one player is the Seer, who knows the word but must not to be too obvious when helping you figure it out; if the word is guessed, the werewolf can pull out a win by identifying the Seer!

A free iOS/Android app provides thousands of words in hundreds of categories at various difficulty levels, so everyone can play.

","Deduction, Party Game, Real-time, Word Game",7.1463,10,4 to 10,1.1642
CATAN,=IMAGE("https://cf.geekdo-images.com/W3Bsga_uLP9kO91gZ7H8yw__original/img/xV7oisd3RQ8R-k18cdWAYthHXsA=/0x0/filters:format(jpeg)/pic2419375.jpg"),"In CATAN (formerly The Settlers of Catan), players try to be the dominant force on the island of Catan by building settlements, cities, and roads. On each turn dice are rolled to determine what resources the island produces. Players build by spending resources (sheep, wheat, wood, brick and ore) that are depicted by these resource cards; each land type, with the exception of the unproductive desert, produces a specific resource: hills produce brick, forests produce wood, mountains produce ore, fields produce wheat, and pastures produce sheep.

Setup includes randomly placing large hexagonal tiles (each showing a resource or the desert) in a honeycomb shape and surrounding them with water tiles, some of which contain ports of exchange. Number disks, which will correspond to die rolls (two 6-sided dice are used), are placed on each resource tile. Each player is given two settlements (think: houses) and roads (sticks) which are, in turn, placed on intersections and borders of the resource tiles. Players collect a hand of resource cards based on which hex tiles their last-placed house is adjacent to. A robber pawn is placed on the desert tile.

A turn consists of possibly playing a development card, rolling the dice, everyone (perhaps) collecting resource cards based on the roll and position of houses (or upgraded cities—think: hotels) unless a 7 is rolled, turning in resource cards (if possible and desired) for improvements, trading cards at a port, and trading resource cards with other players. If a 7 is rolled, the active player moves the robber to a new hex tile and steals resource cards from other players who have built structures adjacent to that tile.

Points are accumulated by building settlements and cities, having the longest road and the largest army (from some of the development cards), and gathering certain development cards that simply award victory points. When a player has gathered 10 points (some of which may be held in secret), he announces his total and claims the win.

CATAN has won multiple awards and is one of the most popular games in recent history due to its amazing ability to appeal to experienced gamers as well as those new to the hobby.

Die Siedler von Catan was originally published by KOSMOS and has gone through multiple editions. It was licensed by Mayfair and has undergone four editions as The Settlers of Catan. In 2015, it was formally renamed CATAN to better represent itself as the core and base game of the CATAN series. It has been re-published in two travel editions, portable edition and compact edition, as a special gallery edition (replaced in 2009 with a family edition), as an anniversary wooden edition, as a deluxe 3D collector's edition, in the basic Simply Catan, as a beginner version, and with an entirely new theme in Japan and Asia as Settlers of Catan: Rockman Edition. Numerous spin-offs and expansions have also been made for the game.

","Economic, Negotiation",7.10912,120,3 to 4,2.3024
Catan: 5-6 Player Extension,=IMAGE("https://cf.geekdo-images.com/qGCU44UcimWPJ7BucwV1cg__original/img/QhVruHcW6bXg1mrWjwJxZrlGnbA=/0x0/filters:format(jpeg)/pic2420287.jpg"),"Allows you to add up to two more opponents to The Settlers of Catan. The only change in the rules is that there is a building round at the end of each turn in which any player can build.

Belongs to the Catan Series.

Expands:

    CATAN


Expanded by:

    Catan: Seafarers â€“ 5-6 Player Extension
    Catan: Cities & Knights â€“ 5-6 Player Extension


","Expansion for Base-game, Negotiation",6.96766,120,5 to 6,2.3151
